"gender","organsys_desc","term","RR","lower","upper","p","AIC"
"Men","Immune & haematological","(Intercept)",5.49835420160334e-05,2.08070344744878e-05,0.000145296529226005,4.14797909339567e-87,2401.09334409341
"Men","Immune & haematological","caseTRUE",6.03201640401819,3.87466073891041,9.39055683842306,1.75421121656192e-15,2401.09334409341
"Men","Immune & haematological","age_start",1.02407709625457,1.01170124476683,1.03660433798804,0.000125427595909053,2401.09334409341
"Men","Immune & haematological","diabTRUE",0.88725157837153,0.584599776304939,1.34658854695172,0.574120882755943,2401.09334409341
"Men","Immune & haematological","htTRUE",0.948321589031915,0.695766998228321,1.29255029128142,0.737000551803516,2401.09334409341
"Men","Immune & haematological","smokTRUE",1.40939863061486,0.981046995541825,2.0247801675209,0.0633897704924352,2401.09334409341
"Men","Respiratory","(Intercept)",8.14050967574048e-05,4.56807662571695e-05,0.000145067395340427,6.84894432212903e-224,5831.44788311075
"Men","Respiratory","caseTRUE",9.06944269324106,6.69963645904488,12.277500617953,3.40287634630664e-46,5831.44788311075
"Men","Respiratory","age_start",1.02204291007341,1.01538948128324,1.02873993604031,6.02780800944508e-11,5831.44788311075
"Men","Respiratory","diabTRUE",0.947335720498009,0.742306118688995,1.20899578319047,0.663727560064765,5831.44788311075
"Men","Respiratory","htTRUE",0.647914735660291,0.539099479536195,0.77869395282464,3.71962765730529e-06,5831.44788311075
"Men","Respiratory","smokTRUE",3.17366956513455,2.42428780093147,4.15469586770653,4.32664692588065e-17,5831.44788311075
"Men","Digestive","(Intercept)",4.39067322137571e-05,2.17827670761962e-05,8.85012049638652e-05,3.46053231468791e-173,5776.07589914769
"Men","Digestive","caseTRUE",4.15244544881226,3.2602223547229,5.2888427012909,8.76518381006769e-31,5776.07589914769
"Men","Digestive","age_start",1.04273680419728,1.03483186650876,1.05070212661291,4.3520031580247e-27,5776.07589914769
"Men","Digestive","diabTRUE",1.5470385178653,1.24414411440579,1.92367439434613,8.67643272728962e-05,5776.07589914769
"Men","Digestive","htTRUE",0.998591536580974,0.821210525286675,1.2142867464869,0.988729809932639,5776.07589914769
"Men","Digestive","smokTRUE",1.1967745138966,0.968566007550116,1.47875232658144,0.0960953183894914,5776.07589914769
"Men","Digestive","alc_descEx",1.308132128041,0.747044081335184,2.29064081647585,0.347373805336503,5776.07589914769
"Men","Digestive","alc_descCurrent",1.21590068733509,0.905461437042467,1.6327746505593,0.193706365845193,5776.07589914769
"Men","Digestive","alc_descMissing",1.10373047386973,0.758634204313115,1.60580811150177,0.605899854057308,5776.07589914769
"Men","Urinary","(Intercept)",2.8372976193813e-05,9.6881335129497e-06,8.30940012354946e-05,2.6473876973269e-81,2564.45196587569
"Men","Urinary","caseTRUE",4.37635696703539,2.96234577508256,6.46531558335232,1.22243639986348e-13,2564.45196587569
"Men","Urinary","age_start",1.03917115080581,1.0259252348372,1.05258808731655,4.34785684039707e-09,2564.45196587569
"Men","Urinary","diabTRUE",1.39693043696172,0.976751940146183,1.9978610387178,0.0670838895281443,2564.45196587569
"Men","Urinary","htTRUE",1.22149056043803,0.884251602758563,1.68734688699976,0.224856642834557,2564.45196587569
"Men","Urinary","smokTRUE",0.859441208517876,0.621685166230106,1.18812420019247,0.359284785379136,2564.45196587569
"Men","Reproductive","(Intercept)",2.63966118300546e-05,1.0575364226536e-05,6.58871979423834e-05,5.5414753628322e-113,3523.85059036786
"Men","Reproductive","caseTRUE",2.21605691545369,1.68613755318348,2.91251935125826,1.15131439335332e-08,3523.85059036786
"Men","Reproductive","age_start",1.05225071798796,1.04089111636151,1.06373429084164,3.68887569777508e-20,3523.85059036786
"Men","Reproductive","diabTRUE",0.632735341008898,0.423295785608239,0.945802026321553,0.0256380222676874,3523.85059036786
"Men","Reproductive","htTRUE",0.989099916825632,0.76568326718236,1.27770670640954,0.933134660694521,3523.85059036786
